open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,symbol,open_time_formatted,close_time_formatted
1776297600000,622.58,637.4,614.89,635.77,131546.701,1776383999999,82305644.4231,929913,67822.951,42456690.7119,BNBUSDT,2026-04-16,2026-04-16 23:59:59.999
1776384000000,635.77,645.67,626.66,643.12,153486.838,1776470399999,97715237.01149,991499,78515.797,49997443.09312,BNBUSDT,2026-04-17,2026-04-17 23:59:59.999
1776470400000,643.12,648.79,628.03,629.9,119665.359,1776556799999,76422904.87484,773964,59656.029,38098062.98558,BNBUSDT,2026-04-18,2026-04-18 23:59:59.999
1776556800000,629.9,630.43,615.0,616.06,100590.742,1776643199999,62599268.67886,717165,50238.869,31264205.92837,BNBUSDT,2026-04-19,2026-04-19 23:59:59.999
1776643200000,616.07,632.08,615.97,629.26,92147.711,1776729599999,57634537.69358,760489,47261.464,29558099.73428,BNBUSDT,2026-04-20,2026-04-20 23:59:59.999
1776729600000,629.26,640.7,625.0,631.72,105373.239,1776815999999,66708621.6678,755473,54895.338,34756110.27668,BNBUSDT,2026-04-21,2026-04-21 23:59:59.999
1776816000000,631.73,654.19,631.19,637.47,134986.339,1776902399999,86905991.32744,795265,67928.799,43741167.0742,BNBUSDT,2026-04-22,2026-04-22 23:59:59.999
1776902400000,637.47,640.38,631.0,638.54,98409.256,1776988799999,62573305.06496,672282,50962.222,32404682.25374,BNBUSDT,2026-04-23,2026-04-23 23:59:59.999
1776988800000,638.55,640.49,632.04,636.21,70625.818,1777075199999,44968429.27877,553287,38832.861,24728495.95456,BNBUSDT,2026-04-24,2026-04-24 23:59:59.999
1777075200000,636.21,638.5,627.15,628.53,58918.337,1777161599999,37311178.08933,380618,28281.165,17920809.02659,BNBUSDT,2026-04-25,2026-04-25 23:59:59.999
1777161600000,628.52,638.06,627.0,635.76,54446.34,1777247999999,34415048.81529,380170,28451.802,17985093.63523,BNBUSDT,2026-04-26,2026-04-26 23:59:59.999
1777248000000,635.77,639.81,618.38,626.83,103945.488,1777334399999,65310537.06297,666672,50604.532,31791999.84822,BNBUSDT,2026-04-27,2026-04-27 23:59:59.999
1777334400000,626.83,627.58,619.0,624.55,62347.742,1777420799999,38868567.20818,437927,29553.391,18423247.83405,BNBUSDT,2026-04-28,2026-04-28 23:59:59.999
1777420800000,624.56,629.61,610.26,617.39,101813.172,1777507199999,63262853.78308,659343,45018.485,27970923.54228,BNBUSDT,2026-04-29,2026-04-29 23:59:59.999
1777507200000,617.39,620.53,613.47,615.38,78612.445,1777593599999,48478985.45592,506354,31494.106,19424042.46485,BNBUSDT,2026-04-30,2026-04-30 23:59:59.999
1777593600000,615.38,622.84,613.79,615.34,88053.74,1777679999999,54465481.5865,489616,39133.5,24203654.9477,BNBUSDT,2026-05-01,2026-05-01 23:59:59.999
1777680000000,615.34,621.81,614.15,618.03,51973.994,1777766399999,32066556.01918,301097,24154.73,14904571.89852,BNBUSDT,2026-05-02,2026-05-02 23:59:59.999
1777766400000,618.03,622.27,615.09,617.27,72850.13,1777852799999,45057448.71424,374245,35963.142,22248372.90865,BNBUSDT,2026-05-03,2026-05-03 23:59:59.999
1777852800000,617.28,639.0,615.61,622.63,206649.001,1777939199999,129546423.00309,1028643,90387.027,56666359.07604,BNBUSDT,2026-05-04,2026-05-04 23:59:59.999
1777939200000,622.64,635.0,622.58,630.42,147021.795,1778025599999,92527196.40466,707735,69968.014,44040964.13446,BNBUSDT,2026-05-05,2026-05-05 23:59:59.999
1778025600000,630.41,664.26,628.97,647.74,241695.256,1778111999999,156387243.87649,1073411,132512.254,85747925.1559,BNBUSDT,2026-05-06,2026-05-06 23:59:59.999
1778112000000,647.74,653.49,633.68,637.02,144173.809,1778198399999,92876311.73249,858520,69672.722,44899309.18288,BNBUSDT,2026-05-07,2026-05-07 23:59:59.999
1778198400000,637.02,651.53,634.76,649.36,107752.676,1778284799999,69043114.76978,679524,54448.019,34902301.9677,BNBUSDT,2026-05-08,2026-05-08 23:59:59.999
1778284800000,649.37,656.0,646.23,649.75,98352.892,1778371199999,64050089.11391,518538,47033.019,30638342.89282,BNBUSDT,2026-05-09,2026-05-09 23:59:59.999
1778371200000,649.76,666.66,644.84,663.55,119277.217,1778457599999,78052969.18864,675636,61683.287,40384036.93212,BNBUSDT,2026-05-10,2026-05-10 23:59:59.999
1778457600000,663.56,673.0,649.46,670.6,183665.245,1778543999999,120891525.79175,970415,96170.516,63351368.94178,BNBUSDT,2026-05-11,2026-05-11 23:59:59.999
1778544000000,670.6,671.47,650.49,664.95,161617.089,1778630399999,106821223.52236,970952,81095.926,53611690.64284,BNBUSDT,2026-05-12,2026-05-12 23:59:59.999
1778630400000,664.95,685.68,663.77,671.68,226062.768,1778716799999,152664824.09562,1254124,128613.916,86894139.01075,BNBUSDT,2026-05-13,2026-05-13 23:59:59.999
1778716800000,671.68,687.66,665.42,678.27,159800.03,1778803199999,108004625.97265,1052466,88331.578,59709247.23393,BNBUSDT,2026-05-14,2026-05-14 23:59:59.999
1778803200000,678.28,689.98,670.0,676.73,136300.95,1778889599999,92908446.00805,849499,70626.298,48157188.08197,BNBUSDT,2026-05-15,2026-05-15 23:59:59.999
1776297600000,74809.99,75534.76,73309.85,75154.29,17088.68777,1776383999999,1274894123.7496114,3581890,8601.69794,641950287.248219,BTCUSDT,2026-04-16,2026-04-16 23:59:59.999
1776384000000,75154.28,78333.0,74529.4,77072.0,25941.36694,1776470399999,1987343208.84067,4931167,14435.4773,1106587361.0045395,BTCUSDT,2026-04-17,2026-04-17 23:59:59.999
1776470400000,77072.01,77420.08,75445.16,75691.76,9141.84456,1776556799999,698008567.9340073,1941112,4333.78362,330918112.5519663,BTCUSDT,2026-04-18,2026-04-18 23:59:59.999
1776556800000,75691.76,76240.66,73762.9,73801.79,11369.82232,1776643199999,854915370.4407915,2739751,5458.61875,410654487.0526324,BTCUSDT,2026-04-19,2026-04-19 23:59:59.999
1776643200000,73801.8,76558.62,73724.31,75840.97,16993.41034,1776729599999,1280503914.3710752,3563591,8812.70109,664069175.9657189,BTCUSDT,2026-04-20,2026-04-20 23:59:59.999
1776729600000,75840.97,76927.57,74821.57,76336.15,14912.57132,1776815999999,1132118272.558311,3616213,7672.96288,582659654.9138548,BTCUSDT,2026-04-21,2026-04-21 23:59:59.999
1776816000000,76336.14,79472.82,76132.95,78178.23,19737.51225,1776902399999,1543732085.5463338,3757077,10376.12434,811313167.070367,BTCUSDT,2026-04-22,2026-04-22 23:59:59.999
1776902400000,78178.22,78662.5,76960.0,78257.48,16970.79501,1776988799999,1321349698.3542461,3571796,7760.75572,604322134.3078095,BTCUSDT,2026-04-23,2026-04-23 23:59:59.999
1776988800000,78257.48,78581.93,77264.08,77437.13,12675.14315,1777075199999,986932564.6001965,2581973,6148.06393,478778657.353311,BTCUSDT,2026-04-24,2026-04-24 23:59:59.999
1777075200000,77437.13,77885.35,77140.23,77625.0,5685.1142,1777161599999,440684004.3451535,806542,2999.85355,232567740.8198693,BTCUSDT,2026-04-25,2026-04-25 23:59:59.999
1777161600000,77625.0,78961.0,77326.51,78657.55,7963.56162,1777247999999,621991973.4848,1476971,3981.86566,311149594.6071661,BTCUSDT,2026-04-26,2026-04-26 23:59:59.999
1777248000000,78657.55,79485.66,76459.64,77371.32,16046.92418,1777334399999,1247833550.0841923,2982889,7712.53219,600122422.5927734,BTCUSDT,2026-04-27,2026-04-27 23:59:59.999
1777334400000,77371.32,77478.0,75666.6,76342.77,13210.72383,1777420799999,1010412673.5550212,2352446,6518.95469,498681416.1989518,BTCUSDT,2026-04-28,2026-04-28 23:59:59.999
1777420800000,76342.78,77904.93,74937.52,75780.0,18279.93022,1777507199999,1399735858.3455281,3032890,9680.02112,741279741.5187618,BTCUSDT,2026-04-29,2026-04-29 23:59:59.999
1777507200000,75780.0,76669.14,75323.65,76346.57,10381.81607,1777593599999,790584591.689154,2569480,5585.19124,425311383.2018324,BTCUSDT,2026-04-30,2026-04-30 23:59:59.999
1777593600000,76346.58,78914.12,76320.42,78231.13,17315.46502,1777679999999,1347837835.9195642,2388458,8322.98012,647849577.8083475,BTCUSDT,2026-05-01,2026-05-01 23:59:59.999
1777680000000,78231.13,79199.48,78040.0,78686.85,6150.87642,1777766399999,482238389.4494098,936143,3297.03958,258534491.673966,BTCUSDT,2026-05-02,2026-05-02 23:59:59.999
1777766400000,78686.84,79447.0,78084.08,78568.57,7425.7929,1777852799999,584294330.4516286,1352474,3464.91412,272683292.169375,BTCUSDT,2026-05-03,2026-05-03 23:59:59.999
1777852800000,78568.58,80776.99,78202.0,79861.01,26042.96135,1777939199999,2074174850.511439,3734604,13351.64548,1063054861.8782552,BTCUSDT,2026-05-04,2026-05-04 23:59:59.999
1777939200000,79861.01,81791.48,79808.72,80905.52,16947.17995,1778025599999,1374319029.230936,2490930,8628.14977,699849788.9064542,BTCUSDT,2026-05-05,2026-05-05 23:59:59.999
1778025600000,80905.53,82850.0,80731.14,81447.01,18798.77396,1778111999999,1535650624.7612484,2794707,9976.68805,815009074.2302135,BTCUSDT,2026-05-06,2026-05-06 23:59:59.999
1778112000000,81447.01,81708.32,79500.0,80006.0,16154.80338,1778198399999,1300766382.1023338,2540329,7625.14879,614218758.7473308,BTCUSDT,2026-05-07,2026-05-07 23:59:59.999
1778198400000,80006.0,80500.0,79181.48,80193.17,16001.31009,1778284799999,1278566045.4172618,2265372,8328.38654,665600036.192464,BTCUSDT,2026-05-08,2026-05-08 23:59:59.999
1778284800000,80193.18,81080.0,80129.85,80678.4,7548.42177,1778371199999,607596225.9864202,1002373,4032.72566,324554540.3255052,BTCUSDT,2026-05-09,2026-05-09 23:59:59.999
1778371200000,80678.41,82479.32,80279.77,82210.07,12034.31882,1778457599999,977223714.2634745,1801608,6395.8966,519505191.5151365,BTCUSDT,2026-05-10,2026-05-10 23:59:59.999
1778457600000,82210.07,82380.0,80462.97,81745.65,12951.76056,1778543999999,1053193670.8757555,2576396,6132.37349,498860919.4964037,BTCUSDT,2026-05-11,2026-05-11 23:59:59.999
1778544000000,81745.66,81788.0,79843.59,80504.47,12386.25676,1778630399999,1000180167.440677,2345137,5716.20385,461739840.0868008,BTCUSDT,2026-05-12,2026-05-12 23:59:59.999
1778630400000,80504.47,81324.64,78754.65,79313.61,14810.05643,1778716799999,1184929842.8688235,2350570,7161.64182,573129996.834195,BTCUSDT,2026-05-13,2026-05-13 23:59:59.999
1778716800000,79313.61,82048.13,78922.0,81089.99,19727.86807,1778803199999,1590656475.018797,3101046,10750.20775,867205459.8346943,BTCUSDT,2026-05-14,2026-05-14 23:59:59.999
1778803200000,81090.0,81664.45,78659.0,79274.45,12832.76875,1778889599999,1029320116.3037912,2301466,6305.85796,506133546.6070961,BTCUSDT,2026-05-15,2026-05-15 23:59:59.999
1776297600000,2359.94,2369.59,2285.1,2348.17,328960.9377,1776383999999,767882725.893263,3793210,155922.2439,363994207.031231,ETHUSDT,2026-04-16,2026-04-16 23:59:59.999
1776384000000,2348.16,2464.91,2317.43,2419.0,491731.3615,1776470399999,1182467392.606106,4541654,252564.9694,607785958.798977,ETHUSDT,2026-04-17,2026-04-17 23:59:59.999
1776470400000,2419.0,2427.64,2339.92,2350.32,221741.3888,1776556799999,526019366.775183,2045925,98727.0694,234161468.610884,ETHUSDT,2026-04-18,2026-04-18 23:59:59.999
1776556800000,2350.33,2355.3,2252.72,2263.27,256086.8276,1776643199999,591108513.09305,2728260,119800.9019,276635006.888945,ETHUSDT,2026-04-19,2026-04-19 23:59:59.999
1776643200000,2263.28,2346.78,2259.67,2313.85,301000.0659,1776729599999,694052197.978693,3751621,149027.6285,343672032.590961,ETHUSDT,2026-04-20,2026-04-20 23:59:59.999
1776729600000,2313.84,2338.75,2284.19,2327.14,226645.977,1776815999999,524186949.63958,3398934,108621.4578,251286503.845979,ETHUSDT,2026-04-21,2026-04-21 23:59:59.999
1776816000000,2327.15,2423.75,2312.95,2374.07,379707.1259,1776902399999,906985929.200687,4230243,191758.2678,457996923.49354,ETHUSDT,2026-04-22,2026-04-22 23:59:59.999
1776902400000,2374.08,2382.0,2285.42,2330.26,356645.6923,1776988799999,831612346.681225,4079579,169637.8993,395788711.633604,ETHUSDT,2026-04-23,2026-04-23 23:59:59.999
1776988800000,2330.27,2337.5,2300.22,2314.99,183887.6181,1777075199999,426084826.217819,2413824,88184.8381,204323992.883765,ETHUSDT,2026-04-24,2026-04-24 23:59:59.999
1777075200000,2314.98,2323.21,2300.55,2319.5,68139.2191,1777161599999,157673587.538543,658757,33589.8529,77727130.994055,ETHUSDT,2026-04-25,2026-04-25 23:59:59.999
1777161600000,2319.49,2380.0,2306.72,2369.44,154591.6219,1777247999999,363039217.940693,1508570,76876.1717,180579327.354915,ETHUSDT,2026-04-26,2026-04-26 23:59:59.999
1777248000000,2369.45,2404.37,2266.09,2303.67,300363.8586,1777334399999,697653543.100754,3192282,143798.2975,334290742.028397,ETHUSDT,2026-04-27,2026-04-27 23:59:59.999
1777334400000,2303.66,2310.88,2258.24,2289.42,187932.2201,1777420799999,429094630.508975,2346992,94578.0797,215948355.744806,ETHUSDT,2026-04-28,2026-04-28 23:59:59.999
1777420800000,2289.42,2346.95,2220.36,2252.9,355078.1015,1777507199999,811555243.527633,3588292,178999.8027,409301744.342773,ETHUSDT,2026-04-29,2026-04-29 23:59:59.999
1777507200000,2252.9,2279.0,2231.64,2257.51,167194.2776,1777593599999,377557889.671635,2649837,83993.1124,189738754.617926,ETHUSDT,2026-04-30,2026-04-30 23:59:59.999
1777593600000,2257.51,2325.28,2257.21,2295.63,191082.555,1777679999999,438751255.827916,1805481,89533.7329,205580455.528971,ETHUSDT,2026-05-01,2026-05-01 23:59:59.999
1777680000000,2295.63,2343.6,2292.91,2316.97,85588.4724,1777766399999,197914496.937889,870699,45662.7959,105649979.74995,ETHUSDT,2026-05-02,2026-05-02 23:59:59.999
1777766400000,2316.97,2356.92,2297.59,2322.65,151074.4342,1777852799999,351370000.018079,1374290,74492.1738,173304008.274475,ETHUSDT,2026-05-03,2026-05-03 23:59:59.999
1777852800000,2322.65,2398.93,2309.24,2347.16,453020.7985,1777939199999,1067990750.066591,4137093,220556.484,519975851.029142,ETHUSDT,2026-05-04,2026-05-04 23:59:59.999
1777939200000,2347.17,2399.5,2344.93,2360.77,286636.7312,1778025599999,681480549.110581,2512190,139328.0697,331307244.778156,ETHUSDT,2026-05-05,2026-05-05 23:59:59.999
1778025600000,2360.76,2423.74,2338.0,2350.84,420667.3161,1778111999999,999441628.415373,3062625,193007.5534,459022962.968137,ETHUSDT,2026-05-06,2026-05-06 23:59:59.999
1778112000000,2350.84,2352.3,2280.1,2291.06,469521.9378,1778198399999,1084720938.606199,3191083,177521.5123,410305896.179507,ETHUSDT,2026-05-07,2026-05-07 23:59:59.999
1778198400000,2291.06,2321.22,2265.61,2307.06,421035.1582,1778284799999,964540001.642085,2568056,164773.9995,377287682.73126,ETHUSDT,2026-05-08,2026-05-08 23:59:59.999
1778284800000,2307.07,2338.37,2300.0,2326.44,230431.157,1778371199999,534441724.095869,1248625,90960.5803,210978434.967519,ETHUSDT,2026-05-09,2026-05-09 23:59:59.999
1778371200000,2326.43,2382.53,2311.83,2371.27,398122.8623,1778457599999,933278254.427879,2272749,219121.332,514296301.197561,ETHUSDT,2026-05-10,2026-05-10 23:59:59.999
1778457600000,2371.26,2374.92,2304.0,2339.87,236962.0552,1778543999999,553428064.252923,2594593,103490.2032,241738239.910142,ETHUSDT,2026-05-11,2026-05-11 23:59:59.999
1778544000000,2339.88,2340.85,2256.27,2274.96,252981.1082,1778630399999,579204959.797464,2520381,112560.2947,257748542.882055,ETHUSDT,2026-05-12,2026-05-12 23:59:59.999
1778630400000,2274.97,2323.36,2234.13,2258.65,258455.7299,1778716799999,587994702.421878,2145600,124180.3611,282671652.633523,ETHUSDT,2026-05-13,2026-05-13 23:59:59.999
1778716800000,2258.66,2319.33,2238.64,2283.25,256680.8359,1778803199999,585368708.59742,2730407,127752.3579,291429330.031826,ETHUSDT,2026-05-14,2026-05-14 23:59:59.999
1778803200000,2283.26,2300.29,2205.11,2216.03,224263.729,1778889599999,504533410.95333,2163725,91084.7593,204769280.354466,ETHUSDT,2026-05-15,2026-05-15 23:59:59.999
1776297600000,3.73e-06,4.06e-06,3.69e-06,3.98e-06,28973575704857.0,1776383999999,112666280.48515262,288672,14865081418341.0,57876004.57986014,PEPEUSDT,2026-04-16,2026-04-16 23:59:59.999
1776384000000,3.98e-06,4.12e-06,3.82e-06,3.95e-06,20493702230797.0,1776470399999,81827303.27774256,195717,10290336166230.0,41135149.1433507,PEPEUSDT,2026-04-17,2026-04-17 23:59:59.999
1776470400000,3.96e-06,3.99e-06,3.75e-06,3.77e-06,10503014646818.0,1776556799999,40567480.65404441,86685,4736681624258.0,18298710.64774261,PEPEUSDT,2026-04-18,2026-04-18 23:59:59.999
1776556800000,3.78e-06,3.85e-06,3.62e-06,3.65e-06,10437635540822.0,1776643199999,39061053.44267257,101659,4819287789765.0,18057712.23968316,PEPEUSDT,2026-04-19,2026-04-19 23:59:59.999
1776643200000,3.66e-06,3.85e-06,3.64e-06,3.76e-06,8307810221879.0,1776729599999,31212103.41131198,87150,4335949381819.0,16300273.01824623,PEPEUSDT,2026-04-20,2026-04-20 23:59:59.999
1776729600000,3.76e-06,3.84e-06,3.7e-06,3.81e-06,8935721140876.0,1776815999999,33713802.38791593,77124,4560040102859.0,17223556.33675167,PEPEUSDT,2026-04-21,2026-04-21 23:59:59.999
1776816000000,3.82e-06,3.99e-06,3.78e-06,3.79e-06,11484877720452.0,1776902399999,44736702.43741238,100779,5827590038987.0,22712480.45845605,PEPEUSDT,2026-04-22,2026-04-22 23:59:59.999
1776902400000,3.8e-06,3.85e-06,3.7e-06,3.82e-06,9685101326279.0,1776988799999,36598440.32542739,90633,4733585319404.0,17902938.80253301,PEPEUSDT,2026-04-23,2026-04-23 23:59:59.999
1776988800000,3.83e-06,3.93e-06,3.79e-06,3.87e-06,8037668998119.0,1777075199999,30981171.9721328,76942,4026879578752.0,15535820.01852573,PEPEUSDT,2026-04-24,2026-04-24 23:59:59.999
1777075200000,3.87e-06,3.9e-06,3.78e-06,3.85e-06,4775395887657.0,1777161599999,18378199.45686475,45562,2312969376314.0,8903647.10929039,PEPEUSDT,2026-04-25,2026-04-25 23:59:59.999
1777161600000,3.85e-06,3.95e-06,3.81e-06,3.9e-06,7084807837111.0,1777247999999,27578748.84551897,58512,3657076747501.0,14242245.5161966,PEPEUSDT,2026-04-26,2026-04-26 23:59:59.999
1777248000000,3.9e-06,4.03e-06,3.76e-06,3.91e-06,11227756759468.0,1777334399999,43425929.83681408,104056,5201485069741.0,20151262.08862183,PEPEUSDT,2026-04-27,2026-04-27 23:59:59.999
1777334400000,3.91e-06,3.91e-06,3.81e-06,3.88e-06,7203120818601.0,1777420799999,27836627.44106593,69958,3506640779358.0,13562668.89454192,PEPEUSDT,2026-04-28,2026-04-28 23:59:59.999
1777420800000,3.87e-06,4.17e-06,3.74e-06,3.85e-06,19411017139623.0,1777507199999,76597469.0133113,165513,9558076280540.0,37778105.51144684,PEPEUSDT,2026-04-29,2026-04-29 23:59:59.999
1777507200000,3.86e-06,3.95e-06,3.8e-06,3.88e-06,9407855798492.0,1777593599999,36549995.96564488,94016,4779365654520.0,18586558.53401949,PEPEUSDT,2026-04-30,2026-04-30 23:59:59.999
1777593600000,3.88e-06,4.03e-06,3.87e-06,3.94e-06,8314878812841.0,1777679999999,32909341.55711303,74210,4128099668163.0,16341742.89853275,PEPEUSDT,2026-05-01,2026-05-01 23:59:59.999
1777680000000,3.94e-06,4.01e-06,3.89e-06,3.99e-06,4588662636718.0,1777766399999,18158413.00789546,44470,2276168669875.0,9017553.08780519,PEPEUSDT,2026-05-02,2026-05-02 23:59:59.999
1777766400000,3.99e-06,4e-06,3.91e-06,3.94e-06,5265246843298.0,1777852799999,20813044.44626395,48806,2449657160459.0,9691991.14205979,PEPEUSDT,2026-05-03,2026-05-03 23:59:59.999
1777852800000,3.94e-06,4.13e-06,3.9e-06,3.99e-06,14337601184316.0,1777939199999,57640835.20857236,122748,6865301304878.0,27621787.55718163,PEPEUSDT,2026-05-04,2026-05-04 23:59:59.999
1777939200000,3.99e-06,4.23e-06,3.98e-06,4.11e-06,13956747293300.0,1778025599999,57256234.61908988,104291,7431369609320.0,30490737.82690244,PEPEUSDT,2026-05-05,2026-05-05 23:59:59.999
1778025600000,4.11e-06,4.28e-06,4.08e-06,4.16e-06,13381342828840.0,1778111999999,56098301.19805571,113106,6445395111155.0,27047413.43425374,PEPEUSDT,2026-05-06,2026-05-06 23:59:59.999
1778112000000,4.16e-06,4.28e-06,4.07e-06,4.15e-06,10473727582698.0,1778198399999,43644842.66256952,111553,5293712904325.0,22097893.2404543,PEPEUSDT,2026-05-07,2026-05-07 23:59:59.999
1778198400000,4.16e-06,4.37e-06,4.08e-06,4.32e-06,10918809391786.0,1778284799999,46134775.04000942,101770,5843952912282.0,24730662.00504181,PEPEUSDT,2026-05-08,2026-05-08 23:59:59.999
1778284800000,4.32e-06,4.37e-06,4.23e-06,4.25e-06,5604563071912.0,1778371199999,24101836.80043731,50670,2669699549536.0,11488535.58014701,PEPEUSDT,2026-05-09,2026-05-09 23:59:59.999
1778371200000,4.25e-06,4.59e-06,4.19e-06,4.41e-06,14232005739932.0,1778457599999,62259132.05785482,128249,7030423496696.0,30779342.81210556,PEPEUSDT,2026-05-10,2026-05-10 23:59:59.999
1778457600000,4.42e-06,4.43e-06,4.26e-06,4.35e-06,10494980121428.0,1778543999999,45463857.29085995,98639,5101968572651.0,22107356.31030192,PEPEUSDT,2026-05-11,2026-05-11 23:59:59.999
1778544000000,4.35e-06,4.36e-06,4.06e-06,4.14e-06,9024610084538.0,1778630399999,37843555.17613903,89825,4098382176298.0,17188508.0382462,PEPEUSDT,2026-05-12,2026-05-12 23:59:59.999
1778630400000,4.15e-06,4.27e-06,3.98e-06,4.05e-06,7054938310248.0,1778716799999,29094036.05611537,79419,3430086125832.0,14161828.79666256,PEPEUSDT,2026-05-13,2026-05-13 23:59:59.999
1778716800000,4.06e-06,4.22e-06,3.99e-06,4.1e-06,8846472425251.0,1778803199999,36245641.08973352,88327,4585264186345.0,18793380.00532359,PEPEUSDT,2026-05-14,2026-05-14 23:59:59.999
1778803200000,4.1e-06,4.13e-06,3.82e-06,3.87e-06,7009479898267.0,1778889599999,28021491.25044356,70146,3161557596347.0,12652275.05162526,PEPEUSDT,2026-05-15,2026-05-15 23:59:59.999
1776297600000,84.9,90.53,83.8,89.05,3940291.341,1776383999999,342538921.72054,1188495,2104470.318,183179493.87041,SOLUSDT,2026-04-16,2026-04-16 23:59:59.999
1776384000000,89.06,90.73,87.34,88.76,4237208.388,1776470399999,377307282.79799,1177055,2275080.6,202651717.47248,SOLUSDT,2026-04-17,2026-04-17 23:59:59.999
1776470400000,88.77,89.16,85.78,86.16,1893190.543,1776556799999,165249225.53869,560071,863736.099,75386662.887,SOLUSDT,2026-04-18,2026-04-18 23:59:59.999
1776556800000,86.15,87.12,82.94,83.47,2594849.065,1776643199999,221105423.00326,769677,1270518.854,108340240.85943,SOLUSDT,2026-04-19,2026-04-19 23:59:59.999
1776643200000,83.47,86.22,83.34,85.28,2300346.75,1776729599999,195747705.12717,755776,1199663.506,102089121.71035,SOLUSDT,2026-04-20,2026-04-20 23:59:59.999
1776729600000,85.29,86.89,84.31,86.03,2111587.269,1776815999999,180689885.18477,789037,1094282.274,93670118.2769,SOLUSDT,2026-04-21,2026-04-21 23:59:59.999
1776816000000,86.04,89.32,86.01,86.87,3154871.835,1776902399999,277312968.48886,814469,1730943.426,152144684.51329,SOLUSDT,2026-04-22,2026-04-22 23:59:59.999
1776902400000,86.86,87.18,84.48,86.12,2894663.239,1776988799999,248381347.37972,789600,1551557.114,133142996.82914,SOLUSDT,2026-04-23,2026-04-23 23:59:59.999
1776988800000,86.12,86.94,84.92,86.18,1818574.663,1777075199999,156360251.67295,545936,918892.981,78991917.93927,SOLUSDT,2026-04-24,2026-04-24 23:59:59.999
1777075200000,86.18,86.8,85.53,86.18,1033932.436,1777161599999,89083751.12267,300075,513711.595,44250865.59785,SOLUSDT,2026-04-25,2026-04-25 23:59:59.999
1777161600000,86.19,87.32,85.84,86.93,1453501.452,1777247999999,125727370.39517,380657,735165.507,63592743.68955,SOLUSDT,2026-04-26,2026-04-26 23:59:59.999
1777248000000,86.93,88.08,83.63,84.82,3009101.691,1777334399999,258019187.38674,737519,1583431.358,135900455.08456,SOLUSDT,2026-04-27,2026-04-27 23:59:59.999
1777334400000,84.82,84.93,82.98,84.06,1664394.443,1777420799999,139515262.33159,397883,903890.968,75775495.32337,SOLUSDT,2026-04-28,2026-04-28 23:59:59.999
1777420800000,84.06,85.56,81.4,83.04,2576063.596,1777507199999,215702892.97072,581305,1182001.869,98922658.3919,SOLUSDT,2026-04-29,2026-04-29 23:59:59.999
1777507200000,83.05,84.01,82.16,83.09,1372591.611,1777593599999,114147099.21202,481530,735437.679,61169910.08091,SOLUSDT,2026-04-30,2026-04-30 23:59:59.999
1777593600000,83.09,84.86,83.08,83.76,1798067.959,1777679999999,151073553.34307,432422,922837.681,77553095.22007,SOLUSDT,2026-05-01,2026-05-01 23:59:59.999
1777680000000,83.76,84.97,83.44,84.26,1027759.499,1777766399999,86371425.97718,283023,522602.118,43924478.85107,SOLUSDT,2026-05-02,2026-05-02 23:59:59.999
1777766400000,84.26,84.97,83.58,83.91,1268647.522,1777852799999,106740859.1955,341393,646891.275,54425982.83368,SOLUSDT,2026-05-03,2026-05-03 23:59:59.999
1777852800000,83.91,85.9,83.23,84.1,3469307.218,1777939199999,293561075.29853,757940,1688378.768,142857449.40493,SOLUSDT,2026-05-04,2026-05-04 23:59:59.999
1777939200000,84.11,86.98,84.04,86.29,2478888.126,1778025599999,211908510.33936,520564,1301281.257,111237727.22947,SOLUSDT,2026-05-05,2026-05-05 23:59:59.999
1778025600000,86.29,90.03,86.1,89.16,3483256.03,1778111999999,308151763.87133,799669,1830232.233,161869907.97423,SOLUSDT,2026-05-06,2026-05-06 23:59:59.999
1778112000000,89.16,90.44,87.63,88.42,2892180.501,1778198399999,256798285.69353,829550,1461747.651,129901669.86081,SOLUSDT,2026-05-07,2026-05-07 23:59:59.999
1778198400000,88.43,92.8,87.6,92.01,2644434.859,1778284799999,237710210.22825,780119,1419124.709,127710281.38425,SOLUSDT,2026-05-08,2026-05-08 23:59:59.999
1778284800000,92.02,94.17,91.85,93.13,1974272.696,1778371199999,184273334.88941,591555,1057722.996,98731179.10481,SOLUSDT,2026-05-09,2026-05-09 23:59:59.999
1778371200000,93.12,97.0,92.6,96.47,2559168.995,1778457599999,242180573.08509,795120,1379810.128,130648523.28676,SOLUSDT,2026-05-10,2026-05-10 23:59:59.999
1778457600000,96.46,98.41,94.3,97.37,3078049.965,1778543999999,295699382.12628,1005178,1578859.571,151792766.20544,SOLUSDT,2026-05-11,2026-05-11 23:59:59.999
1778544000000,97.37,97.68,93.55,94.28,2810037.359,1778630399999,267797491.336,755594,1361994.023,129833819.53637,SOLUSDT,2026-05-12,2026-05-12 23:59:59.999
1778630400000,94.28,95.99,90.27,91.17,3192571.802,1778716799999,296684142.90225,846316,1571829.141,146199842.57876,SOLUSDT,2026-05-13,2026-05-13 23:59:59.999
1778716800000,91.17,93.68,89.82,92.15,2709125.808,1778803199999,248759454.4034,747394,1306187.892,120020424.33318,SOLUSDT,2026-05-14,2026-05-14 23:59:59.999
1778803200000,92.16,92.66,88.55,89.19,1979241.734,1778889599999,179750184.13028,501991,922130.885,83750910.50564,SOLUSDT,2026-05-15,2026-05-15 23:59:59.999
